Race to Zero partner,Member type,Reporting,Year,Total,Source,Scope 1,Scope 2,Scope 3,Status,Status v2,Name RtZ,Data found,Latest emissions,Latest emissions year,Source URL,Scopes,Unit
Climate Action Accelerator,,Not specified,2019,17600,https://climateactionaccelerator.org/wp-content/uploads/2023/09/Rapport-empreinte-DNDi.pdf,185,240,17200,Only,Latest,Drugs for Neglected Diseases Initiative (DNDi),Emissions data found,185,2019,https://climateactionaccelerator.org/wp-content/uploads/2023/09/Rapport-empreinte-DNDi.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Not specified,2019,3891,https://climateactionaccelerator.org/wp-content/uploads/2024/01/Road-MAP-Epicentre_Final.pdf,,,,Only,Latest,EPICENTRE,Emissions data found,3891,2019,https://climateactionaccelerator.org/wp-content/uploads/2024/01/Road-MAP-Epicentre_Final.pdf,"Scopes 1, 2, 3",Metric tons of CO2e
Climate Action Accelerator,,Custom URL,2019,2040,https://climateactionaccelerator.org/wp-content/uploads/2024/06/GCSP-CAA-ROADMAP-2024-06v4.pdf,,,,Only,Latest,Geneva Centre for Security Policy (GCSP),Emissions data found,2040,2019,https://climateactionaccelerator.org/wp-content/uploads/2024/06/GCSP-CAA-ROADMAP-2024-06v4.pdf,"Scopes 1, 2, 3",Metric tons of CO2e
Climate Action Accelerator,,Not specified,2020,1032847,https://climateactionaccelerator.org/wp-content/uploads/2022/09/ICRC-carbon-accounting-2020-2.pdf,47912,22648,962287,Only,Latest,International Commitee of the Red Cross (ICRC),Emissions data found,47912,2020,https://climateactionaccelerator.org/wp-content/uploads/2022/09/ICRC-carbon-accounting-2020-2.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Own Website,2021,18500,https://climateactionaccelerator.org/wp-content/uploads/2023/08/Tdh_Roadmap-Climate-Environment_EN_Web.pdf,,,,Only,Latest,La Fondation Terre des Hommes,Emissions data found,18500,2021,https://climateactionaccelerator.org/wp-content/uploads/2023/08/Tdh_Roadmap-Climate-Environment_EN_Web.pdf,"Scopes 1, 2, 3",Metric tons of CO2e
Climate Action Accelerator,,Not specified,2019,129000,https://climateactionaccelerator.org/wp-content/uploads/2024/06/MSF_OCB_ROADMAP_EN.pdf,,,,Only,Latest,Médecins sans Frontières (Operational Centre Brussels),Emissions data found,129000,2019,https://climateactionaccelerator.org/wp-content/uploads/2024/06/MSF_OCB_ROADMAP_EN.pdf,"Scopes 1, 2, 3",Metric tons of CO2e
Climate Action Accelerator,,Own Website,2019,68766,https://climateactionaccelerator.org/wp-content/uploads/2022/11/OCG-Carbon-Footprint_FINAL_29092022.pdf,11200,4500,53000,Only,Latest,Médecins sans Frontières (Operational Centre Geneva),Emissions data found,11200,2019,https://climateactionaccelerator.org/wp-content/uploads/2022/11/OCG-Carbon-Footprint_FINAL_29092022.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Custom URL,2019,92000,https://climateactionaccelerator.org/wp-content/uploads/2023/06/OCP-Empreinte-carbone.pdf,13400,4400,74000,Only,Latest,Médecins sans Frontières (Operational Centre Paris),Emissions data found,13400,2019,https://climateactionaccelerator.org/wp-content/uploads/2023/06/OCP-Empreinte-carbone.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Own Website,2019,399,https://climateactionaccelerator.org/wp-content/uploads/2022/11/Footprint-report_TDH-SCHWEIZ_27102022_v2.pdf,28,2,369,Only,Latest,Terre des hommes Schweiz,Emissions data found,28,2019,https://climateactionaccelerator.org/wp-content/uploads/2022/11/Footprint-report_TDH-SCHWEIZ_27102022_v2.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Own Website,2019,491,https://climateactionaccelerator.org/wp-content/uploads/2022/11/Footprint-report_TDH-SUISSE_18082022.pdf,35,1.2,454.5,Only,Latest,Terre des Hommes Suisse,Emissions data found,35,2019,https://climateactionaccelerator.org/wp-content/uploads/2022/11/Footprint-report_TDH-SUISSE_18082022.pdf,Scope 1,Metric tons of CO2e
Climate Action Accelerator,,Own Website,2020,14545,https://climateactionaccelerator.org/wp-content/uploads/2022/09/ALIMA_Roadmap_avril2022-1.pdf,,,,Latest,Latest,The Alliance for International Medical Action (ALIMA),Emissions data found,14545,2020,https://climateactionaccelerator.org/wp-content/uploads/2022/09/ALIMA_Roadmap_avril2022-1.pdf,"Scopes 1, 2, 3",Metric tons of CO2e
IWCA,,Custom URL,2021,7166,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,1204,492,5469,Only,Latest,Crimson Wine Group,Emissions data found,1204,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2020,2711,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,397,248,2066,Only,Latest,CULLEN WINES,Emissions data found,397,2020,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,56293,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,4143,1627,52095,Only,Latest,FAMILIA TORRES,Emissions data found,4143,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Not specified,2021,58470,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,790,99,57581,Only,Latest,Famille Perrin,Emissions data found,790,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,323,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,92,7,224,Only,Latest,Felton Road,Emissions data found,92,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2021,2241,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,535,42,1664,Only,Latest,Gloria Ferrer Winery,Emissions data found,535,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2021,1293,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,105,0,1188,Only,Latest,Herència Altés,Emissions data found,105,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Not specified,2020,43689,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,7443,2655,33591,Only,Latest,Hill-Smith Family Estates,Emissions data found,7443,2020,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,104775,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,27879,1429,75467,Only,Latest,Jackson Family Wines,Emissions data found,27879,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2020,223,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,75,8,139,Only,Latest,Medlock Ames,Emissions data found,75,2020,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,7323,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,1396,339,5588,Latest,Latest,Miguel Torres Chile,Emissions data found,1396,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,6790,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,1390,51,5350,Latest,Latest,SILVER OAK,Emissions data found,1390,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,414,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,59,12,343,Latest,Latest,SPOTTSWOODE ESTATE,Emissions data found,59,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,34289,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,1204,654,32431,Latest,Latest,SYMINGTON FAMILY ESTATES,Emissions data found,1204,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Not specified,2021,2037,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,506,423,1108,Latest,Latest,Voyager Estate,Emissions data found,506,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2021,11221,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,4180,310,6731,Latest,Latest,YEALANDS ESTATE WINES,Emissions data found,4180,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2022,4350,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,380,0,3920,Only,Latest,BODEGA EMINA,Emissions data found,380,2022,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2021,8200,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,2157,1,6042,Only,Latest,Cakebread Cellars,Emissions data found,2157,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
IWCA,,Custom URL,2021,572,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,73,40,459,Only,Latest,Château Troplong Mondot,Emissions data found,73,2021,https://www.iwcawine.org/_files/ugd/dffd34_6c38291cfce24e4299f0121cd887abbb.pdf,Scope 1,Metric tons of CO2e
Exponential Roadmap Initiative,,CDP,2021,18.2,,,,18.2,Only,Latest,Ørsted,Emissions data found,18.2,2021,,"Scopes 1, 2, 3",Metric tons of CO2e
Exponential Roadmap Initiative,,CDP,2021,2105113,https://www.telefonica.com/en/wp-content/uploads/sites/5/2022/03/telefonica-cdp-climate-change-questionnaire-2022.pdf,,,2105113,Only,Latest,TELEFÓNICA,Emissions data found,2105113,2021,https://www.telefonica.com/en/wp-content/uploads/sites/5/2022/03/telefonica-cdp-climate-change-questionnaire-2022.pdf,"Scopes 1, 2, 3",Metric tons of CO2e