,COMPANY_NAME,2015,2016,2017,2018,2019,2020,2021,2022,Name clean,Country ref,Name clean Global RtZ,Country RtZ,Type RtZ,Match percentage,Match status,Match status v2,Name RtZ,Data found,Latest emissions,Latest emissions year,Source URL,Scopes,Unit
0,A.P. Moller - Maersk A/S,33044000,35917000,35579000,38749000,36204000,33902000,36863000,,a.p. moller maersk,Global,møller-mærsk,Denmark,Company,67,"Unlikely a match, but manual check needed",Yes,A. P. Møller-Mærsk A/S,Emissions data found,36863000,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
1,AAK AB (PUBL),,,,,,,269380,,aak,Global,aak,Sweden,Company,100,Fully matched,Yes,AAK AB,Emissions data found,269380,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
2,ABB Ltd,761000,733000,392000,375000,257500,225547,190900,,abb,Global,abb,Switzerland,Company,100,Fully matched,Yes,ABB,Emissions data found,190900,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
3,ABBVIE INC.,317524,297395,293271,311433,314421,264791,367954,,abbvie,Global,abbvie,United States of America,Company,100,Fully matched,Yes,AbbVie,Emissions data found,367954,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
4,ACCENTURE PUBLIC LIMITED COMPANY,26290,27203,24095,22183,18923,13945,9250,,accenture,Global,accenture,Ireland,Company,100,Fully matched,Yes,Accenture PLC,Emissions data found,9250,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
5,ACCOR,302000,255099,248589,280706,252401,201098,450208,,accor,Global,accor,France,Company,100,Fully matched,Yes,Accor S.A.,Emissions data found,450208,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
6,adidas AG,11702,12017,11702,8.546,6620,11786,12908.4,,adidas,Global,adidas,Germany,Company,100,Fully matched,Yes,Adidas AG,Emissions data found,12908.4,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
7,ADOBE INC.,10992,11082,11361,12119,11816,9842,4923,,adobe,Global,adobe,United States of America,Company,100,Fully matched,Yes,"Adobe, Inc.",Emissions data found,4923,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
8,AECOM,,,,,,23149.3,19689.01,,aecom,Global,aecom,United States of America,Company,100,Fully matched,Yes,AECOM,Emissions data found,19689.01,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
9,AENA S.M.E. SA,,18282,19363,30707,29349,21470.158,14313.6,,aena s.m.e.,Global,aena s.m.e.,Spain,Company,100,Fully matched,Yes,AENA S.M.E. S.A.,Emissions data found,14313.6,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
11,"AGILENT TECHNOLOGIES, INC.",7539,7840,8196,7518,9192,10900,11447,,agilent technologies,Global,agilent technologies,United States of America,Company,100,Fully matched,Yes,"Agilent Technologies, Inc",Emissions data found,11447,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
12,"Ajinomoto Co., Inc.",1409020,1296732,1270429,1244676,1196969,1013315,1008811,1005363,ajinomoto,Global,ajinomoto,Japan,Company,100,Fully matched,Yes,"Ajinomoto Co., Inc.",Emissions data found,1005363,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
14,Aktiebolaget Electrolux,85267,82562,174659,164995,135896,74046,82846,,aktiebolaget electrolux,Global,electrolux,Sweden,Company,61,"Unlikely a match, but manual check needed",Yes,Electrolux,Emissions data found,82846,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
15,Aktiebolaget SKF,,59379,61682,62255,78636,71511,81291,,aktiebolaget skf,Global,systembolaget,Sweden,Company,62,"Unlikely a match, but manual check needed",Yes,AB SKF,Emissions data found,81291,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
16,Alfa Laval AB,,20179,19240,20148,18063,19857,18735,,alfa laval,Global,alfa laval,Sweden,Company,100,Fully matched,Yes,Alfa Laval AB,Emissions data found,18735,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
18,AMBEV S.A.,,,,,,,511957.45,,ambev,Global,ambev,Brazil,Company,100,Fully matched,Yes,Ambev S.A.,Emissions data found,511957.45,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
19,AMBUJA CEMENTS LIMITED,13585987,13543643,14711549,14849220,14523738,13405629,16180247,,ambuja cements,Global,ambuja cement,India,Company,96,"Likely a match, but manual check needed",Yes,Ambuja Cement Ltd,Emissions data found,16180247,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
21,"AMERICAN AXLE & MANUFACTURING, INC.",,,,148857,137612,75989.5,87033,,american axle manufacturing,Global,american axle manufacturing,United States of America,Company,100,Fully matched,Yes,"American Axle & Manufacturing, Inc.",Emissions data found,87033,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
22,American Eagle Outfitters Inc.,,,,,,,7790,9248,american eagle outfitters,Global,american eagle outfitters,United States of America,Company,100,Fully matched,Yes,American Eagle Outfitters,Emissions data found,9248,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
23,"ANALOG DEVICES, INC.",,78672,55655,53807,162740,168487,167937,,analog devices,Global,analog devices,United States of America,Company,100,Fully matched,Yes,"Analog Devices, Inc.",Emissions data found,167937,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
24,Apple Inc.,28100,34320,45397,54590,52730,47430,55200,,apple,Global,apple,United States of America,Company,100,Fully matched,Yes,"Apple, Inc.",Emissions data found,55200,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
25,"APPLIED MATERIALS, INC.",34862,24635,36490,38516,42279,49083,43982,,applied materials,Global,applied materials,United States of America,Company,100,Fully matched,Yes,Applied Materials,Emissions data found,43982,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
26,ARAMARK,,,,,367443.37,332117,317075,,aramark,Global,aramark,United States of America,Company,100,Fully matched,Yes,Aramark,Emissions data found,317075,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
27,ARCADIS N.V.,15600,13478,12164,11090,10484.3,8947,7672,,arcadis,Global,arcadis,Netherlands,Company,100,Fully matched,Yes,Arcadis NV,Emissions data found,7672,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
28,Arçelik Anonim Şirketi,59363,58246,56540,55236,,43109,84014,,arçelik anonim,Global,arçeli̇k,Turkey,Company,64,"Unlikely a match, but manual check needed",Yes,ARÇELİK A.Ş.,Emissions data found,84014,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
29,"Asahi Group Holdings,Ltd.",360934,366914,360681,462598,478695,463242,493847,,asahi,Global,asahi,Japan,Company,100,Fully matched,Yes,Asahi Group Holdings Ltd.,Emissions data found,493847,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
30,ASICS Corporation,5664,4499,4428,4002,3848,2873,3071,,asics,Global,asics,Japan,Company,100,Fully matched,Yes,ASICS Corporation,Emissions data found,3071,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
31,ASSA ABLOY AB,267389,166468,138078,135630,66227,62575,63499,,assa abloy,Global,assa abloy,Sweden,Company,100,Fully matched,Yes,Assa Abloy AB,Emissions data found,63499,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
32,ASTRAZENECA PLC,320780,309685,295677,301896,285798,240052,245882,,astrazeneca,Global,astrazeneca,United Kingdom,Company,100,Fully matched,Yes,AstraZeneca,Emissions data found,245882,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
33,ATEA ASA,5863,4454.3,3937,4021.1,3806.6,3438.7,3407,,atea,Global,atea,Norway,Company,100,Fully matched,Yes,Atea,Emissions data found,3407,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
34,ATOS SE,31166,30048,35317540.97,30383,20981,12228,26955,,atos,Global,atos,France,Company,100,Fully matched,Yes,Atos SE,Emissions data found,26955,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
35,Aurubis AG,,519823,529239,521746,502926,539836,563939,,aurubis,Global,aurubis,Germany,Company,100,Fully matched,Yes,Aurubis AG,Emissions data found,563939,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
36,"AUTODESK, INC.",2331,2042,1898,2270,2655,3190,867,589,autodesk,Global,autodesk,United States of America,Company,100,Fully matched,Yes,"Autodesk, Inc.",Emissions data found,589,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
37,"AUTOLIV, INC.",,,,,107000,98000,103000,,autoliv,Global,autoliv,Sweden,Company,100,Fully matched,Yes,Autoliv Inc,Emissions data found,103000,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
38,AUTOSTRADE PER L'ITALIA S.P.A.,,,,,,,57840,,autostrade l'italia,Global,autostrade l’italia,Italy,Company,100,Fully matched,Yes,Autostrade per l’Italia,Emissions data found,57840,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
39,AXA,49743,46867.9,45780,38778,37889,26292,23362,,axa,Global,axa,France,Financial Institution,100,Fully matched,Yes,AXA Group,Emissions data found,23362,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
40,Axiata Group Berhad,,65756,53852,83130,106675.56,47865,74017,,axiata,Global,axiata,Malaysia,Company,100,Fully matched,Yes,Axiata Group Berhad,Emissions data found,74017,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
41,AZUL S.A.,,,2372000,2610100,2958328.18,1658511.92,2493370.01,,azul,Global,azul,Brazil,Company,100,Fully matched,Yes,Azul S.A,Emissions data found,2493370.01,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
42,BAE SYSTEMS PLC,569515,579880,525032,506320,480932,151190,142241,,bae systems,Global,bae systems,United Kingdom,Company,100,Fully matched,Yes,BAE Systems PLC,Emissions data found,142241,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
43,BALFOUR BEATTY PLC,288644,222485,172270,175065,167070.69,162816,199002,,balfour beatty,Global,balfour beatty,United Kingdom,Company,100,Fully matched,Yes,Balfour Beatty Plc,Emissions data found,199002,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
44,BARRATT DEVELOPMENTS P L C,18224,20211,20772.68,19426,24832,18374,26769,,barratt developments p,Global,barratt developments,United Kingdom,Company,95,"Likely a match, but manual check needed",Yes,BARRATT DEVELOPMENTS PLC,Emissions data found,26769,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
45,Bayer Aktiengesellschaft,4410000,730000,610000,1510000,2030000,2010000,1930000,,bayer aktiengesellschaft,Global,heristo aktiengesellschaft,Germany,Company,84,"Unlikely a match, but manual check needed",Yes,Bayer AG,Emissions data found,1930000,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
46,Bayerische Motoren Werke Aktiengesellschaft,536168,562146,625072,581703,678403,678967,699713,,bayerische motoren werke aktiengesellschaft,Global,heristo aktiengesellschaft,Germany,Company,72,"Unlikely a match, but manual check needed",Yes,BMW Group,Emissions data found,699713,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
47,BCE INC.,133566,128878,131664,133899,145591,139896,136132,,bce,Global,bce,Canada,Company,100,Fully matched,Yes,BCE inc.,Emissions data found,136132,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
48,"BECTON, DICKINSON AND COMPANY",75661,72658,87638,98252,118232,116718,152299,,becton dickinson,Global,bd becton dickinson,United States of America,Company,91,"Likely a match, but manual check needed",Yes,"BD (Becton, Dickinson & Company)",Emissions data found,152299,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
49,Beiersdorf Aktiengesellschaft,35881,37861,43180,40586,42275,38929,42085,,beiersdorf aktiengesellschaft,Global,heristo aktiengesellschaft,Germany,Company,84,"Unlikely a match, but manual check needed",Yes,Beiersdorf AG,Emissions data found,42085,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
50,"BERRY GLOBAL GROUP, INC.",39900,141034,153655,231613,260954,265426,172225,,berry global,Global,berry global,United States of America,Company,100,Fully matched,Yes,"Berry Global Group, Inc.",Emissions data found,172225,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
52,BIOGEN INC.,57574,61970,61577,68448,67447,57553,63182,,biogen,Global,biogen,United States of America,Company,100,Fully matched,Yes,Biogen Inc.,Emissions data found,63182,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
53,BNP PARIBAS,55085.47,62450,65422,62148,61187,49041,50144,,bnp paribas,Global,bnp paribas,France,Financial Institution,100,Fully matched,Yes,BNP Paribas,Emissions data found,50144,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
54,BOOZ ALLEN HAMILTON HOLDING CORPORATION,,0,0,0,1.76,,32,40.54,booz allen hamilton,Global,booz allen hamilton,United States of America,Company,100,Fully matched,Yes,Booz Allen Hamilton Holding Corporation,Emissions data found,40.54,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
55,BOSTON SCIENTIFIC CORPORATION,,30704.4,,31257,35662,35908,35395,,boston scientific,Global,boston scientific,United States of America,Company,100,Fully matched,Yes,Boston Scientific Corporation,Emissions data found,35395,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
56,BRF S.A.,361059,439962.58,441663.16,280499.2,298843.64,282709.85,318393.38,,brf s.a.,Global,brf s.a.,Brazil,Company,100,Fully matched,Yes,BRF S.A.,Emissions data found,318393.38,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
57,BRITISH AMERICAN TOBACCO P.L.C.,330495,311172,426660,415195,396398,342034,324985,,british american tobacco,Global,british american tobacco bat,United Kingdom,Company,92,"Likely a match, but manual check needed",Yes,British American Tobacco (BAT),Emissions data found,324985,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
58,BROWN-FORMAN CORPORATION,93193.12,94202,99053.42,103596,109092,115729,103699,,brown-forman,Global,brown-forman,United States of America,Company,100,Fully matched,Yes,Brown-Forman,Emissions data found,103699,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
60,BUNZL PUBLIC LIMITED COMPANY,93641,89186,92687.02,99848.07,99193,90568,87125,,bunzl,Global,bunzl,United Kingdom,Company,100,Fully matched,Yes,Bunzl plc,Emissions data found,87125,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
61,BURBERRY GROUP PLC,2337,2141,2128,2144,2155,2061,2089,1834,burberry,Global,burberry,United Kingdom,Company,100,Fully matched,Yes,Burberry Plc,Emissions data found,1834,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
62,BUREAU VERITAS,20379,31545,40334,39323,66700,58694,68779,,bureau veritas,Global,bureau veritas,France,Company,100,Fully matched,Yes,BUREAU VERITAS,Emissions data found,68779,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
63,Canadian National Railway Company,5526925,5064024,5499641,5776183,5771894,5234302,5084159,,canadian national railway,Global,canadian national railway,Canada,Company,100,Fully matched,Yes,Canadian National Railway Company,Emissions data found,5084159,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
64,CAPGEMINI,5973.1,6222,6772,7343.41,12424.668,8479.275,10622.2,,capgemini,Global,capgemini,France,Company,100,Fully matched,Yes,Capgemini SE,Emissions data found,10622.2,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
65,CAPITA PLC,,,,20397,,18979,15021,,capita,Global,capita,United Kingdom,Company,100,Fully matched,Yes,Capita Plc,Emissions data found,15021,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
66,Cargotec Oyj,,,,20100,22000,21300,21300,,cargotec,Global,cargotec,Finland,Company,100,Fully matched,Yes,Cargotec,Emissions data found,21300,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
67,CARREFOUR,1686641,1132250,1189912.5,1006784,827791.45,698695.15,613932,,carrefour,Global,carrefour,France,Company,100,Fully matched,Yes,Carrefour,Emissions data found,613932,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
68,"CATALENT PHARMA SOLUTIONS, INC.",46292,49176,58782,,,69000,65500,,catalent pharma solutions,Global,catalent pharma solutions,United States of America,Company,100,Fully matched,Yes,Catalent Pharma Solutions,Emissions data found,65500,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
69,CELLNEX TELECOM SA,2575.89,3173.14,2013,2545,2814,3755.75,3494,,cellnex telecom,Global,cellnex telecom,Spain,Company,100,Fully matched,Yes,CELLNEX TELECOM S.A.,Emissions data found,3494,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
71,CEMEX S A B DE C V,44113781,44185846,42890752,43402376,39025281,37489660.1,38399669.5,,cemex,Global,cemex,Mexico,Company,100,Fully matched,Yes,"CEMEX, S.A.B de C.V.",Emissions data found,38399669.5,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
73,"ČEZ, a. s.",28677888,30362173,27866642,26857011,26135742,23440389,18994509,,čez,Global,cez,Czechia,Company,67,"Unlikely a match, but manual check needed",Yes,CEZ Group,Emissions data found,18994509,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
74,CHANEL,,,,,20053.304,20493.106,19468.965,,chanel,Global,chanel,United Kingdom,Company,100,Fully matched,Yes,CHANEL,Emissions data found,19468.965,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
75,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",,,59333,75797.4,87130.86,89720,90584,,charles river laboratories,Global,charles river laboratories,United States of America,Company,100,Fully matched,Yes,"Charles River Laboratories, Inc.",Emissions data found,90584,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
76,Chocoladefabriken Lindt & Sprüngli AG,,44505,44587,45839.46,42519,46288,60484,,chocoladefabriken lindt sprüngli,Global,chocoladefabriken lindt sprüngli,Switzerland,Company,100,Fully matched,Yes,Chocoladefabriken Lindt & Sprüngli AG,Emissions data found,60484,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
77,"CISCO SYSTEMS, INC.",43734,53123,41914,41171,46652,38743,26694,,cisco systems,Global,cisco systems,United States of America,Company,100,Fully matched,Yes,"Cisco Systems, Inc.",Emissions data found,26694,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
78,CLIFFORD CHANCE LLP,,,901,,1322,1301,741,716,clifford chance,Global,clifford chance,United Kingdom,Company,100,Fully matched,Yes,Clifford Chance LLP,Emissions data found,716,2022,https://nzdpu.com/data-explorer,Scope 1,tCO2e
79,COCA-COLA EUROPACIFIC PARTNERS PLC,102542,260105,229657,232187,238046,196919,205244,,coca-cola europacific partners,Global,coca-cola europacific partners,United Kingdom,Company,100,Fully matched,Yes,Coca-Cola Europacific Partners,Emissions data found,205244,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
80,COCA-COLA HBC AG,317763.36,286630.236,280478.461,268719.964,248871.651,233499.555,254835.353,,coca-cola hbc,Global,coca-cola hbc,Switzerland,Company,100,Fully matched,Yes,Coca-Cola HBC AG,Emissions data found,254835.353,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
82,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,30121,34385,,,,7437,10600,,cognizant technology solutions,Global,cognizant technology solutions,United States of America,Company,100,Fully matched,Yes,Cognizant Technology Solutions Corporation,Emissions data found,10600,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
83,COLGATE-PALMOLIVE COMPANY,214015,209757,201427,196333,197523,204100,218500,,colgate-palmolive,Global,colgate palmolive,United States of America,Company,100,Fully matched,Yes,Colgate Palmolive Company,Emissions data found,218500,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
84,COLOPLAST A/S,8446,9318,11500,10700,11300,21300,23100,,coloplast,Global,coloplast,Denmark,Company,100,Fully matched,Yes,Coloplast A/S,Emissions data found,23100,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
85,COMPAGNIE DE SAINT-GOBAIN,9528115,9373878,9564450,8581722,8051569,7915725,8402819,,saint-gobain,Global,saint-gobain,France,Company,100,Fully matched,Yes,SAINT-GOBAIN,Emissions data found,8402819,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
86,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,1628647,1525901,1502493,1491138,1429707,1204534,1346122.735,,generale etablissements michelin,Global,generate leads online,France,Company,57,"Unlikely a match, but manual check needed",Yes,Michelin,Emissions data found,1346122.735,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
87,COMPAGNIE PLASTIC OMNIUM SE,,,,86313,89997,71750,75382,,plastic omnium,Global,plastic omnium,France,Company,100,Fully matched,Yes,Plastic Omnium SE,Emissions data found,75382,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
88,COMPASS GROUP PLC,118360,133277,128154,129516,174627,106047,88616,,compass,Global,compass,United Kingdom,Company,100,Fully matched,Yes,Compass Group PLC,Emissions data found,88616,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
89,COMPUTACENTER PLC,,,3352,3072,3306,5640,1908,,computacenter,Global,computacenter,United Kingdom,Company,100,Fully matched,Yes,Computacenter PLC,Emissions data found,1908,2021,https://nzdpu.com/data-explorer,Scope 1,tCO2e
