title,summary,description
100 water and climate projects for Africa,"Strengthening adaptation in the basins of lakes, rivers and associated aquifers through the incubation of projects in Africa","Partners of the projects are providing technical assistance to speed up the pace of development of high quality water and climate projects submitted to donors of the climate finance. It targets projects mobilizing effective adaptation measures, and in particular non-infrastructural solutions: (1) Adaptation strategy and action plan (impact / climate vulnerability study, adaptation strategy, flood/drought plan, demand management plan and water supply development, Nature-Based Solutions and other ""no-regret"" measures); (2) Capacity and knowledge building (i.e. hydro-meteorological network, Water Information System -WIS, warning system, hydroclimatic modeling); (3) Governance (legal and institutional framework, training of staff from basin organizations on climate issues, establishment/strengthening of basin committees, association with basin adaptation planning); (4) Adequate funding (sustainable financing mechanisms in line with the polluter/user pays principles and cost recovery, cost/effectiveness analysis of the planned adaptation actions). A leverage effect from 1 to 100 is expected from the modest budget required for this incubation to the budget required for project implementation. Join the initiative! You can submit project proposals, provide technical assistance or financial support!"
24/7 Carbon-Free Energy,"A global group of companies, policymakers, investors, and organizations on a mission to realize a 24/7 Carbon-Free Energy future for all: every kilowatt-hour of electricity demand with Carbon-Free Energy sources, every hour, every day, everywhere.",
4/1000 Initiative - Soils for Food Security and Climate,"Provide a supportive framework and action plan in line with the SDGs to conceptualize, implement, promote, and monitor soil health and carbon actions by 2030 through increased collaboration among AFOLU stakeholders.","The ""4 per 1000 Initiative: Soils for Food Security and Climate"" was launched at COP 21 in December 2015. The Initiative carries the vision of worldwide healthy and carbon-rich soils (especially agricultural and forest soils) to combat climate change and end hunger. It promotes the natural sequestration of organic carbon in soils, and support for the most advanced scientific research in this field, globally."
Action towards Climate-Friendly Transport (ACT),ACT Initiative is the largest global coalition aiming to catalyse transport as an enabler of sustainable development in line with the 2030 Agenda for Sustainable Development and the Paris Agreement,"At the 2019 Climate Action Summit, for the first time, over 100 organisations came together in a bold, multi-pronged commitment to accelerate the decarbonisation of transport worldwide. The coalition delivers on its goals by connecting innovative approaches with integrated, long-term planning, speeding up the deployment of electric vehicles, creating a mass market for zero-emission freight vehicles, and fostering global dialogue arenas with and among the private sector. ACT is delivering results and works through four components."
AFOLU 2040 Regional Initiative for Central America and the Dominican Republic (AFOLU 2040),"By 2030, the SICA region will restore and conserve ten million hectares of degraded lands and ecosystems, promoting sustainable and climate-adapted carbon neutrality in agriculture, forestry and other land uses by 2040.","The countries of the Central American Integration System (SICA) will take collective action to conserve forests; transition to low-carbon and resilient agriculture and livestock management; integrate sustainable practices, and develop a monitoring, reporting and verification (MRV) system including for agriculture."
African Adaptation Initiative (AAI),"Enhance action on adaptation with the aim of addressing the financing gap, and implementing measures to address disaster risk reduction and resilience needs in Africa","In launching the AAI, African Heads of State have initiated high-level pan-African and regional dialogues, adaptation action on the ground, and cross-sector processes to strengthen collaboration across Africa. The AAI will raise awareness about climate adaptation, build and strengthen capacity, support resource mobilization for implementation, promote cooperation, and track climate action progress."
Airport Carbon Accreditation,The aim of Airport Carbon Accreditation is to encourage and enable airports to implement best practices in carbon management and achieve emissions reductions,"Airport Carbon Accreditation is the only voluntary global carbon management standard for airports. The aim of Airport Carbon Accreditation is to encourage and enable airports to implement best practices in carbon management and achieve emissions reductions. Airports can participate at one of four progressively stringent levels of accreditation: 1. Mapping; 2. Reduction; 3. Optimisation; and 4. Transformation. In addition, airports at Level 3 and 4 can choose to offset their residual emissions, thereby achieving Level 3+ (Neutrality) and 4+ (Transition) respectively."
Ambitious SIDS Climate Action,Commit to the transition to renewable energy and energy efficiency targets by 2030,"A transformative SIDS Climate Action Summit package on Sustainable Energy towards a pathway of enhanced renewable energy transition targets by 2030, which is being operationalized through the SIDS Lighthouses Initiative (LHI) and coordinated by the International Renewable Energy Agency."
Assessing low-Carbon Transition (ACT),Increase the collective ambition of reducing greenhouse gas emissions in strategic economic sectors by providing a corporates climate accountability framework with sectoral methodologies to assess and support companies decarbonization strategies and associated transition plans.,"ACT provides a corporates climate accountability framework with sectoral methodologies to assess and support companies decarbonization strategies and associated transition plans. Historically developed by the French Agency for Ecological Transition in partnership with CDP and a multi stakeholders collaborative approach, ACT addresses both needs to equip the private sector to decarbonise and inform its key stakeholders to leverage. Since June 2022, ACT Initiative is hosted by the World Benchmarking Alliance."
Bonn Challenge,The Bonn Challenge is a global goal to bring 150 million hectares of degraded and deforested landscapes into restoration by 2020 and 350 million hectares by 2030,The Bonn Challenge is a global goal to bring 150 million hectares of degraded and deforested landscapes into restoration by 2020 and 350 million hectares by 2030.
Building Efficiency Accelerator,"The project aims to help cities double the improvement rate of building energy efficiency by 2030 through linking global market experience with local policy action, capacity building, and range of levels of direct technical assistance for testing and scaling best practices.","The project aims to help cities double the improvement rate of building energy efficiency by 2030 through linking global market experience with local policy action, capacity building, and range of levels of direct technical assistance for testing and scaling best practices."
Business Declares,"Inspire, encourage and accelerate business action to address the climate, ecological and social emergency.",
Carbon Neutral Cities Alliance (CNCA),"CNCA’s mission is to mobilize transformative climate action in cities in order to achieve prosperity, social equity, resilience and better quality of life for all on a thriving planet","CNCA supports the leading cities to achieve their carbon neutrality targets. The Alliance does this through investing in policy development, adoption and implementation; helping cities to exert collective influence; developing governance tools for climate justice and carbon emissions; leadership training; communications support; and helping them to put people front and center."
CBN Expert,"Inspire and support SMEs to make real and positive commitments to a credible Net Zero transition, and produce Science Based target compliant plans and a commitment to deliver compliant reporting and slear action across all 3 Scope of GHG emissions.",CBN Expert supports a wide range of small & medium sized businesses who wish to demonstrate their commitment to NetZero.
Central African Forests Initiative (CAFI),"Recognize and preserve the value of the forests in Central Africa to mitigate climate change, reduce poverty, and contribute to sustainable development","The member countries of the Central African Forest Initiative (CAFI) committed to increasing climate ambition and their NDCs by 2020 by maintaining forest cover in the region, continuing to stock approximately 70 gigatons of carbon and providing livelihoods for 60 million people by conserving the second largest tropical forest basin in the world."
Cities Climate Finance Leadership Alliance (CCFLA),"Enable the mainstreaming of urban climate action around the world and accelerate climate-aligned capital flows to cities, becoming the leading global multi-stakeholder climate finance initiative for cities.","The Cities Climate Finance Leadership Alliance (CCFLA) is a multi-level and multi-stakeholder coalition aimed at closing the investment gap for urban subnational climate projects and infrastructure by 2030. CCFLA provides a platform to convene and exchange knowledge among all relevant actors dedicated to urban development, climate action, and/or financing."
Clean Air Fund,Working towards a world where everyone can breathe clean air,"The Clean Air Fund is a philanthropic organisation working globally to empower funders, researchers, policymakers and campaigners to deliver clean air for all."
Clean Air Initiative,"Commit to achieve air quality that is safe for populations, align climate change and air pollution policies by 2030 and scale up investments towards climate action, health and sustainable development","The Clean Air Initiative calls on national and subnational governments to commit to achieving air quality that is safe for citizens, and to align climate change and air pollution policies by 2030. Financial institutions commit to scale up investments to support climate action, health and sustainable development."
Clean Cooking Fund,"Scale up public and private investment in the clean cooking sector by co-financing Multi-lateral Development Banks' lending operations, catalyzing technology and business innovation, and linking incentives with verified results","At the United Nations 2019 Climate Summit, ESMAP launched its US$500 million Clean Cooking Fund (CCF) – the first ever such fund to scale up investments in the clean cooking sector. The fund aims to scale up public and private investments by co-financing with Multi-lateral Development Bank’s lending operations, catalyzing technology and business innovation, and linking incentives with verified results. The CCF is expected to leverage US$2 billion in investments to support a sizeable number of businesses delivering clean cooking solutions, with a view to transforming the market. The CCF was operationalized in January 2020. The first CCF project is the Energy Access Quality Improvement Project (EAQIP) in Rwanda, which is the largest World Bank financed clean cooking project in Africa to date. The EAQIP Project will expand access to clean cooking to 500,000 households across Rwanda and leverage US$30 million in public and private sector investment. Other countries in the pipeline include Uganda, Burundi, Ghana, Myanmar, Niger and Mozambique."
Clean Energy Corridors in Africa,"Transform the current fuel mix by promoting development of clean, indigenous, cost-effective renewable power options and strengthen cross-border trade of renewable power","The implementation of the Africa Clean Energy Corridor (ACEC) is guided by the Ministerial Communiqué that endorsed the ACEC Action Agenda in January 2014 and contributed to the development of Africa’s flagship climate action programme, the Africa Renewable Energy Initiative (AREI). Enjoying broad political support from the region, the West Africa Clean Energy Corridor (WACEC) was adopted by the Economic Community of West African States (ECOWAS) Council of Ministers as an annex to the ECOWAS Treaty in December 2016. This was then endorsed by the Summit of ECOWAS Heads of States in June 2017. In March 2017, the African Union recommended the integration of the Clean Energy Corridors into national renewable energy and climate change agendas."
Climate Action 100+,Corporate engagement to ask that the world’s largest corporate greenhouse gas emitters take necessary action on climate change.,"Climate Action 100+ is a collaborative investor-led initiative, which aims to ensure that world’s largest corporate greenhouse gas emitters take necessary action on climate change."
Climate Action Accelerator,Empowering organisations to develop and implement transition plans towards halving GHG emissions by 2030.,
Climate Action for Jobs Initiative,Countries commit to developing a just transition plan,"National Governments to commit to formulating just transition plans which incorporate social dialogue, assessment of impacts, skills development and social protection policies to advance these conversations and enhance implementation and ambition of climate action. All countries signup to: (1) Creating mechanisms of inclusive social dialogue; (2) Assessing employment, social and economic impacts of ecological transition and green jobs potential; (3) Implementing skills development and upgrading measures; (4) Designing innovative social protection policies to protect workers, vulnerable groups in the context of more ambitious climate strategies; (5) Increasing the transfer of technology and knowledge to developing countries."
Climate Change Impacts on Cultural and Natural Heritage (CCICH),"Bridge the gap between scientific knowledge and climate adaptation tools with informed decision-making by interested States, to facilitate and enhance, in a coordinated manner, their efforts to effectively protect cultural and natural heritage from the impacts of climate change.","CCICH comprises of representatives from Greece, UNESCO, UNFCCC and the WMO with the objectives to a) create an international network between the countries and international organisations supporting the initiative and other international agencies active in the protection of the cultural and natural environment from the climate change; b) create a database with best practices in this field; c) identify related know-how, information and data."
Climate Club,"An open, inclusive and ambitious high-level forum for cooperation on accelerating climate action and increasing ambition, particularly in the field of industry decarbonisation.",
Climate Investment Platform (CIP),"Clean, Affordable, Reliable and Climate-resilient development","A unified mechanism for governments, international organizations and private sector partnerships to support the realization of ambitious climate plans in the context of updated NDCs. The platform declutters and streamlines support from lead and partner institutions. These institutions will use the platform to provide services to governments and private sector clients in their efforts to scale-up climate resilient development including access to clean energy, with the ultimate goal to contribute to the realization of ambitious NDCs."
Climate Neutral Now,"The Climate Neutral Now Initiative encourages and supports organizations to act now in order to achieve a climate neutral world by 2050, as enshrined in the Paris Agreement.","Climate Neutral Now encourages all stakeholders in society to implement immediate actions to achieve a climate neutral (net zero) world by mid-century. It proposes a set of three steps: measure, reduce and contribute. Contributing currently means supporting climate action by third parties through the carbon markets, using certified carbon credits. The first two steps are compulsory, while the third is optional but encouraged. Annual reporting is required by all participants. The initiative is currently in a phase-out period and no new pledges will be accepted from August 2023 onwards, with reporting on 2023 emissions being the last accepted until mid-2024."
Climate Security Mechanism (CSM),"The Climate Security Mechanism works with partners across and beyond the UN to advance peace-positive climate action, catalyze climate-informed approaches to peace and security, and forge partnerships with actors at all levels to exchange information and build the evidence base.","The Climate Security Mechanism (CSM) is a joint initiative by the United Nations Department of Political and Peacebuilding Affairs (DPPA), the United Nations Development Programme (UNDP), the United Nations Environment Programme (UNEP) and the United Nations Department of Peace Operations (DPO). The CSM aims to strengthen the capacity of the United Nations to systematically analyze and address the linkages between climate change, peace and security. It draws on the complementary expertise and tools of DPPA, UNDP, UNEP and DPO to work with partners across and beyond the UN to advance peace-positive climate action, catalyze climate-informed approaches to peace and security, and forge partnerships with actors at all levels to exchange information and build the evidence base. The CSM pursues these objectives by combining direct work in the field with global workstreams designed to create an enabling environment for partners. Recognizing the interlinkages between climate change, peace and security, the CSM seeks to build synergies between climate action and peace and security activities with a particular focus on gender-sensitive responses. The CSM works directly with United Nations field missions and country teams, and with regional and sub-regional organizations, to build capacity, exchange knowledge, and achieve results that support States and communities most affected by climate-related security risks."
Coalition for Climate Resilient Investment (CCRI),CCRI advances solutions that lead the way in driving a systemic shift to facilitate capital investment in resilient infrastructure globally,"To date there has not been a concerted cross-industry effort that engages with climate resilience. CCRI aims to change that dynamic by convening different sectors and industries in support of creating the frameworks and tools to more efficiently price climate risks and facilitate resilience investments. The Coalition will lead the way, driving a systemic shift that facilitates greater capital investment in resilience across the world."
Coalition for Sustainable Energy Access (CSEA),"100% access to sufficient, affordable, modern and renewable energy by all citizens in LDCs and ODCs by 2030","International cooperation and public-private partnerships are crucial means to establish a more rapid and efficient deployment of renewable energy technologies. Yet, till this day, there is still no platform that can help unite the main actors in the fields of energy transition and climate finance. The Coalition for Sustainable Energy Access, jointly led by Ethiopia and Morocco and announced at the UN’s last Climate Action Summit, will attempt to bridge such gaps and introduce innovative approaches to tackling pertinent challenges related to renewable energy not covered by other initiatives and act as an intermediary between developing countries and supporting international institutions/initiatives by matchmaking them."
Cool Coalition,"Accelerate the transition towards efficient climate-friendly cooling for all to achieve the Sustainable Development Goals, the Paris Agreement goals, and the Kigali Amendment to the Montreal Protocol","The Cool Coalition is a global multi-stakeholder network that connects key actors from government, cities, IOs, businesses, finance, civil society to facilitate knowledge exchange, advocacy and joint action towards a rapid transition to sustainable cooling. An official outcome and transformative initiative put forward by the Secretary-General Executive Office at the 2019 UNCAS, the Coalition has 120 members that are driving change in the cooling sector globally."
COP28 Action Agenda on Regenerative Landscapes,"Catalysing a transformative shift towards regenerative and agroecological practices across global landscapes, aiming to establish resilient, sustainable food systems that benefit both nature and people.",
Early Warnings for All (EW4All),"Working to ensure that everyone on Earth is protected from hazardous weather, water, or climate events through life-saving early warning systems by the end of 2027","Early Warnings for All is an initiative to ensure that everyone on Earth is protected from hazardous weather, water, or climate events through life-saving early warning systems by the end of 2027. With human-induced climate change leading to more extreme weather conditions, the need for early warning systems is more crucial than ever. Systems that warn people of impending storms, floods or droughts are not a luxury but a cost-effective tool that saves lives, reduces economic losses, and provides a nearly tenfold return on investment. Early warning systems have helped decrease the number of deaths and have reduced losses and damages resulting from hazardous weather, water or climate events. But major gaps still exist, especially in small island developing states and least developed countries. The United Nations Secretary-General, António Guterres, in 2022 called for a global effort to ensure that early warning systems protect everyone on Earth by 2027."
EcoMobility Alliance,Empower cities to achieve sustainable urban mobility,"The EcoMobility Alliance is a network of ambitious cities, led by innovators and visionaries, supported by experts and businesses, committed to building a sustainable mobility future that is efficient, people-centered, low emission and environmentally friendly. The EcoMobility Alliance was founded in 2011 with six cities and has since grown to 23 cities from various regions of the world. Since its inception, the EcoMobility Alliance has worked to become a truly global actor by engaging a geographically diverse range of cities and partners. Cities that have joined have shown significant efforts to advance and implement sustainable urban mobility."
EV100,Bringing together companies committed to electrifying their fleets and/or installing EV charging company-wide by 2030.,"Companies that join EV100 are committed to driving the transition to electric vehicles on the road, leveraging corporate leadership to build market demand and establish electric vehicles as a mainstream solution by 2030."
Exponential Roadmap Initiative (ERI),"Unite corporate innovators, transformers and disruptors to drive the transformation to halve global emissions before 2030 through exponential climate action and solutions.","The Exponential Roadmap Initiative (ERI) unites innovators, transformers and disruptors to drive the transformation to halve global emissions before 2030 through exponential climate action and solutions. The initiative is a Race to Zero partner for corporate action."
Fashion Industry Charter for Climate Action,To drive the fashion industry to net-zero Greenhouse Gas emissions no later than 2050 in line with keeping global warming below 1.5 degrees.,Target 50% absolute GHG emission reductions across scopes by 2030 and net-zero no later than 2050.
Getting to Zero Coalition (GtZ Coalition),Drive the uptake of commercially viable zero-emission vessels operating along deep-sea trade routes by 2030.,"The Getting to Zero Coalition is an alliance of more than 200 organizations within the maritime, energy, infrastructure, and finance sectors, supported by key governments and IGOs. The Coalition is committed to getting commercially viable deep sea zero emission vessels into operation by 2030 towards full decarbonization by 2050."
Glasgow Declaration on Climate Action in Tourism,"Accelerating climate action through the adoption of a unified action framework in the tourism sector, involving policy makers, business and civil society.",The Glasgow Declaration on Climate Action in Tourism presents a unified framework for tourism stakeholders to accelerate climate action and contribute to the achievement of the goals set in the Paris Agreement.
Global Alliance for Buildings and Construction (GlobalABC),"Towards a zero-emission, efficient and resilient buildings and construction sector: Align stakeholders along the buildings and construction value chain, governments, private sector, research, civil society with the well-below 2 degree Paris Agreement Goals","Founded at COP21, hosted by UNEP and with 246 members, including 37 countries, the GlobalABC is the leading global platform for governments, private sector, civil society, research, and intergovernmental organizations committed to a common vision: A zero-emission, efficient and resilient buildings and construction sector. Our objectives: (1) Be a global advocate for the built environment''s importance and potential for climate action; (2) Provide a neutral platform for tracking progress; (3) Support countries based on their situation in shaping policies and setting targets, e.g. via our regional and national roadmaps."
Global Covenant of Mayors for Climate & Energy,"Combat climate change and move to a low emission, resilient society",
Global Energy Efficiency Accelerator Platform,Support action towards the SEforALL energy efficiency target of doubling the global rate of improvement in energy efficiency by 2030.,"The Global Energy Efficiency Accelerator Platform was launched by SEforALL in 2014 to support doubling the global rate of improvement in energy efficiency by 2030. The platform is made up of Accelerators on energy efficiency sectors: buildings, lighting & appliances, district energy systems, industry and transport. "
Global Fuel Economy Initiative (GFEI),For zero carbon vehicles globally by 2050,"GFEI undertakes research and analysis to raise awareness about fuel economy trends, and works globally to influence policy makers to do more to improve vehicle efficiency and cut emissions.We work with countries to help them understand their own fuel economy baseline, as well as to develop fuel economy policy options. By bringing together key stakeholders GFEI also helps facilitate the policy process and support governments to implement the solutions. GFEI also provides a network for policymakers to exchange information between countries, establishing regional processes, such as in ECOWAS and ASEAN, as well as working with the G20 Transport Task Group to share information and help co-ordinate a coherent global response."
Global Geothermal Alliance (GGA),The GGA is a coalition for action to increase the use of geothermal energy,"The GGA is a coalition for action to increase the use of geothermal energy, both in power generation and direct use of heat. It calls on governments, businesses and other stakeholders to support geothermal deployment and realise its full potential."
Global Resilience Partnership (GRP),"Over 60 organisations joining forces to work together towards a world where people and places persist, adapt and transform in the face of shocks, uncertainty and change","The Global Resilience Partnership (GRP) believes that resilience is fundamental to the global commitment to ‘leave no-one behind’ in the 2030 Sustainable Development Goals (SDG’s). Our vision is: A world where people and places persist, adapt, and transform in the face of shocks, uncertainty, and change. We believe that resilience underpins sustainable development in an increasingly connected and unpredictable world. Under each of the four Value Additions, GRP has co-developed, with its partners, a set of Collaborative Actions (CAs). Each Collaborative Action has a corresponding set of Long Term Objectives, deliverables and activities. GRP has worked with its partners and key stakeholders to identify, co-design and catalyse these Collaborative Actions (CAs). They are designed to bring partners together to deliver greater impact and to leverage investments and the role of GRP is to connect, convene and catalyse the development and delivery of these Collaborative Actions with its partners."
Global Shield against Climate Risks,Strengthen the resilience of developing countries and protect the lives and livelihoods of poor and vulnerable people from the impacts of disasters and climate related risks.,The Global Shield against Climate Risks initiative aims to provide and facilitate more and better pre-arranged protection against climate and disaster related risks for vulnerable people and countries.
Governors' Climate and Forests Task Force (GCF),"Empower state and provincial leaders, and connect them with partners and stakeholders, to implement innovative jurisdictional programmes that protect tropical forests, promote low-carbon development, and unlock financial opportunities.","The GCF Task Force is a subnational collaboration of 43 states and provinces in 11 countries working to protect tropical forests, reduce emissions from deforestation and forest degradation, and promote realistic pathways to forest-based rural development. The GCF fosters partnerships with public and private sector stakeholders at multiple levels - from business and supply chain leaders to indigenous peoples and local communities. "
Health Care Climate Challenge,"Mobilizing health care institutions globally to reduce their carbon footprint, build climate-resilient systems, and lead in addressing climate change.",
High Ambition Coalition for Nature and People (HAC for N&P),Support members in the conservation and effective management of at least 30% of land and 30% of the oceans globally by 2030 to meet climate and biodiversity targets by protecting and conserving key biodiversity areas and carbon sinks.,The HAC for Nature & People (HAC for N&P) is an inter-regional group established to adopt an ambitious deal at the Convention on Biological Diversity COP15 including a global target of conserving and effectively managing at least 30% of the land and 30% of ocean globally by 2030.
High Level Panel for Sustainable Ocean Economy (Ocean Panel),"The High Level Panel for Sustainable Ocean Economy is a unique initiative of 14 serving world leaders building momentum towards a sustainable ocean economy, where effective protection, sustainable production and equitable prosperity go hand in hand","The Ocean Panel was established to catalyse and scale bold, pragmatic solutions across policy, governance, technology and finance. The Ocean Panel continues to work towards a new ocean action agenda through a transformative set of recommendations and actions to advance a sustainable ocean economy, prioritizing a healthy ocean alongside sustainable production to benefit people everywhere. This agenda includes ambitious climate action to achieve the goals of the Paris Agreement."
Improved and Efficient Cooking Energy Solution for Nigeria,Distribute 80 million highly efficient cookstoves to low-income and poor families across Nigeria for free.,"Improved and Efficient Cooking Energy Solution for Nigeria Initiative aims at the dissemination and distribution of up to 80,000,000 highly efficient improved fuel wood stoves for free to women, low income, and poor families across Nigeria."
Industrial Deep Decarbonisation Initiative (IDDI),Aiming to deliver concrete actions in support of developed and developing countries' efforts towards decarbonizing the hard-to-abate sectors and net-zero targets by 2050,"The Industrial Deep Decarbonisation Initiative (IDDI) works with partners to drive additional actions for the deep decarbonization of industrial sectors in developed and developing countries, by advocating for public and private procurement commitments to stimulate the demand for green products and harmonizing systems for carbon reporting and benchmarking of industrial products such as steel and cement."
Initiative 20x20,A country-led effort that aims to change the dynamics of land degradation in Latin America and the Caribbean and seek to bring 50 million hectares into the process of restoration and conservation by 2050,"Initiative 20x20 is a country-led effort that aims to change the dynamics of land degradation in Latin America and the Caribbean. A partnership of technical organizations supports countries in the region to develop and advance their restoration programs. Simultaneously, private partners play a complementing role as they support restoration projects through their impact-focused investments. These projects are key to Initiative 20x20 as they showcase the environmental, social and financial opportunity in restoring lands."
Initiative on Gender and Climate Change,"Climate action to recognize the differentiated impact of climate change by gender, ensure women's and girls’ agency and leadership in all climate actions and increase ambition in all sectors.","Climate change is threatening the global community’s gains in advancing gender equality and women’s and girls’ empowerment. Therefore, climate programmes, initiatives, and actions must empower women and engage them as actors, beneficiaries and leaders. Signatories of this initiative will work towards formulating gender-responsive climate change action plans, policies, and strategies and empowering women as leaders of climate action."
InsuResilience Global Partnership (IGP),"InsuResilience Global Partnership (IGP) links governments, multilateral organizations, private sector and civil society to scale up Climate and Disaster Risk Finance and Insurance to protect 500 million poor and vulnerable people against climate shocks by 2025.","The InsuResilience Global Partnership provides a global platform for actors in the field of resilience and climate adaptation to drive the implementation of Climate and Disaster Risk Finance and Insurance (CDRFI) solutions. As such, it aims to strengthen the resilience of developing countries and to protect the lives and livelihoods of poor and vulnerable people from the impacts of disasters by enabling prearranged, predictable financing for early action, relief and recovery embedded in climate and disaster risk management strategies."
Intelligent Climate & Eco-Civilization Initiative,"Foster greater climate action, transparency of climate action, collaboration and cross-cutting among entities in China.","The Intelligent Climate & Eco-Civilization Initiative aims to foster greater climate action, climate action transparency, collaboration, and cross-cutting between entities in Asia."
International Wineries for Climate Action (IWCA),"Decarbonize, by incentivising and supporting members' commitment, the wine sector by 2050.","The IWCA is a member-led, collaborative organization of wineries taking a science-based approach to reducing carbon emissions across the wine industry. IWCA’s member wineries are committed to the same goal: reaching Net Zero by 2050, while meeting intermediate emissions reduction targets by 2030. To support its members, IWCA offers tools and guidance on emissions reduction, accelerate learning among peers and with outside experts on climate actions strategies, and champion the voices of wineries as leaders for climate action."
International Zero-Emission Vehicle Alliance (ZEV Alliance),"Set ambitious and achievable targets to reach the collective goal of making all passenger and medium and heavy vehicle sales in our jurisdictions ZEVs as fast as possible, and no later than 2050.",The International ZEV Alliance is a platform for policy experts from member governments to share challenges and develop solutions for the transition to zero-emission road vehicles.
Japan Climate Initiative,Supporting and enhancing action to achieve a decarbonized Japanese society.,"The Japan Climate Initiative (JCI) is a network committed to strengthening communication and exchange of strategies and solutions among all actors that are implementing climate actions in Japan. Japanese companies, municipalities, research institutions and civil society organizations that are making serious efforts towards the realization of a decarbonized society are invited to participate in the initiative and help build a decarbonized Japanese society."
Just Transition and Decent Jobs Pledge from the private sector,"Companies to ensure new jobs created in low emissions sectors are fair, decent and inclusive jobs","Companies pledge to comply with the following standards with respect to their employees, and only use contractors who also comply with these standards: (1) Social dialogue with workers and their unions; (2) Workers rights, including the ILO core labour standards and ILO occupational health and safety standards; (3) Social protection, including pension and health; (4) Wage guarantees, including prevailing wage rates for skilled workers in the relevant industries. Companies also pledge to support their national governments to join the ‘Advancing a Just Transition and the Creation of Green Jobs for All for Ambitious Climate Action’ initiative. And to encourage countries to support a just ecological transition by formulating national plans for a just transition and decent jobs, within which business has an important role. Objectives of the initiative are to involve private sector entities aware of how they can contribute to a just transition and committed to provide green and decent jobs in growing industries."
